rom_variant,address,points_to,certainty,author,note
USA,0x104,0x8055e6d,5,octorock,
DEMO,0x104,0x8055dc5,5,octorock,
JP,0x104,0x8055cf1,5,octorock,
USA,0x140,0x807d46d,5,octorock,
DEMO,0x140,0x807d081,5,octorock,
JP,0x140,0x807d2a9,5,octorock,
USA,0x13c,0x807d281,5,octorock,
DEMO,0x13c,0x807ce95,5,octorock,
JP,0x13c,0x807d0bd,5,octorock,
USA,0x144,0x807d6d9,5,octorock,
DEMO,0x144,0x807d2ed,5,octorock,
JP,0x144,0x807d515,5,octorock,
USA,0x210,0x80b7910,5,octorock,
DEMO,0x210,0x80b7494,5,octorock,
JP,0x210,0x80b76b0,5,octorock,
USA,0x214,0x80b79a7,5,octorock,
DEMO,0x214,0x80b752b,5,octorock,
JP,0x214,0x80b7747,5,octorock,
USA,0x218,0x80b37a0,5,octorock,
DEMO,0x218,0x80b3324,5,octorock,
JP,0x218,0x80b3540,5,octorock,
USA,0x21c,0x80b3e80,5,octorock,
DEMO,0x21c,0x80b3a04,5,octorock,
JP,0x21c,0x80b3c20,5,octorock,
USA,0x1358,0x80d3bf8,5,octorock,
DEMO,0x1358,0x80d377c,5,octorock,
JP,0x1358,0x80d3998,5,octorock,
USA,0x1370,0x80af18d,5,octorock,
DEMO,0x1370,0x80af10d,5,octorock,
JP,0x1370,0x80aef2d,5,octorock,
USA,0x1374,0x80af1bd,5,octorock,
DEMO,0x1374,0x80af13d,5,octorock,
JP,0x1374,0x80aef5d,5,octorock,
USA,0x2978,0x80c9160,5,octorock,
DEMO,0x2978,0x80c8ce4,5,octorock,
JP,0x2978,0x80c8f00,5,octorock,
USA,0x297c,0x80c91e0,5,octorock,
DEMO,0x297c,0x80c8d64,5,octorock,
JP,0x297c,0x80c8f80,5,octorock,
USA,0x29c8,0x8114f98,5,octorock,
DEMO,0x29c8,0x8114b1c,5,octorock,
JP,0x29c8,0x8114c5c,5,octorock,
USA,0x29cc,0x813ae14,5,octorock,
DEMO,0x29cc,0x813b844,5,octorock,
JP,0x29cc,0x813aa40,5,octorock,
USA,0x29d8,0x811538c,5,octorock,
DEMO,0x29d8,0x8114f10,5,octorock,
JP,0x29d8,0x8115050,5,octorock,
USA,0x29e8,0x8115724,5,octorock,
DEMO,0x29e8,0x81152a8,5,octorock,
JP,0x29e8,0x81153e8,5,octorock,
USA,0x29f8,0x8115af8,5,octorock,
DEMO,0x29f8,0x811567c,5,octorock,
JP,0x29f8,0x81157bc,5,octorock,
USA,0x2a08,0x8115e9c,5,octorock,
DEMO,0x2a08,0x8115a20,5,octorock,
JP,0x2a08,0x8115b60,5,octorock,
USA,0x2a18,0x8116280,5,octorock,
DEMO,0x2a18,0x8115e04,5,octorock,
JP,0x2a18,0x8115f44,5,octorock,
USA,0x2a28,0x8116530,5,octorock,
DEMO,0x2a28,0x81160b4,5,octorock,
JP,0x2a28,0x81161f4,5,octorock,
USA,0x2a38,0x8116888,5,octorock,
DEMO,0x2a38,0x811640c,5,octorock,
JP,0x2a38,0x811654c,5,octorock,
USA,0x2a48,0x8116a9c,5,octorock,
DEMO,0x2a48,0x8116620,5,octorock,
JP,0x2a48,0x8116760,5,octorock,
USA,0x2a54,0x811f018,5,octorock,
DEMO,0x2a54,0x811fa24,5,octorock,
JP,0x2a54,0x811ecdc,5,octorock,
USA,0x2a64,0x811f590,5,octorock,
DEMO,0x2a64,0x811ff9c,5,octorock,
JP,0x2a64,0x811f254,5,octorock,
USA,0x2a58,0x8116d0c,5,octorock,
DEMO,0x2a58,0x8116890,5,octorock,
JP,0x2a58,0x81169d0,5,octorock,
USA,0x2a68,0x8116dd4,5,octorock,
DEMO,0x2a68,0x8116958,5,octorock,
JP,0x2a68,0x8116a98,5,octorock,
USA,0x2a9c,0x81c8c74,5,octorock,
DEMO,0x2a9c,0x81c96a4,5,octorock,
JP,0x2a9c,0x81c88a0,5,octorock,
USA,0x2a78,0x8116f64,5,octorock,
DEMO,0x2a78,0x8116ae8,5,octorock,
JP,0x2a78,0x8116c28,5,octorock,
USA,0x2a88,0x8117208,5,octorock,
DEMO,0x2a88,0x8116d8c,5,octorock,
JP,0x2a88,0x8116ecc,5,octorock,
USA,0x2a98,0x8117240,5,octorock,
DEMO,0x2a98,0x8116dc4,5,octorock,
JP,0x2a98,0x8116f04,5,octorock,
USA,0x2aa8,0x81175dc,5,octorock,
DEMO,0x2aa8,0x8117160,5,octorock,
JP,0x2aa8,0x81172a0,5,octorock,
USA,0x2ab8,0x81178b0,5,octorock,
DEMO,0x2ab8,0x8117434,5,octorock,
JP,0x2ab8,0x8117574,5,octorock,
USA,0x2ac8,0x8117b84,5,octorock,
DEMO,0x2ac8,0x8117708,5,octorock,
JP,0x2ac8,0x8117848,5,octorock,
USA,0x2ad8,0x8117d64,5,octorock,
DEMO,0x2ad8,0x81178e8,5,octorock,
JP,0x2ad8,0x8117a28,5,octorock,
USA,0x2ae8,0x8117e40,5,octorock,
DEMO,0x2ae8,0x81179c4,5,octorock,
JP,0x2ae8,0x8117b04,5,octorock,
USA,0x2af8,0x8117f68,5,octorock,
DEMO,0x2af8,0x8117aec,5,octorock,
JP,0x2af8,0x8117c2c,5,octorock,
USA,0x2b08,0x8117fd4,5,octorock,
DEMO,0x2b08,0x8117b58,5,octorock,
JP,0x2b08,0x8117c98,5,octorock,
USA,0x2b2c,0x81d7674,5,octorock,
DEMO,0x2b2c,0x81d80a4,5,octorock,
JP,0x2b2c,0x81d72a0,5,octorock,
USA,0x2b18,0x81181b4,5,octorock,
